userName,score,at,content
kurniawan jr,1,2023-07-15 02:48:33,Kecewa sih soalnya pas saya mau log in itu kan di suruh masukin ID Shoowroom padahal ID nya udah sesuai dengan yang di berikan tutorial tapi gak bisa gagal terus dan juga bahasa nya susah untuk di mengerti tolong bisa di rubah lagi dan di tambahkan fitur bahasa Indonesia nya terima kasih
Muhammad Ayyasy,5,2023-07-14 11:59:27,Bagus karena ada jeketi
Mon Moona,5,2023-07-14 08:46:09,"Apk ini sangat bagus,saya saya sangat terbantu karena apk ini,karena apk ini saya dapat melihat showroom dari member JKT48,Terimakasih"
Irham Anis,5,2023-07-14 05:11:40,Kukasii bintang 5 tapi ko ga ada notif ya? Padahal udah di follow
Lutfi Andra,1,2023-07-14 04:08:49,Kok g bisa login nih tolong lah gw mau nnyon ini
center arva64,1,2023-07-13 17:34:57,Udah download tapi setiap sign up gak bisa terus dan kalo bisa tambahin fitur pilihan bahasanya biar gampang ngertinya
khulaifi gaming,5,2023-07-13 16:13:15,Apk bagus mines nya grafik aja sih
Nuno SN,5,2023-07-13 15:38:01,Hd banget buat ngeliat showroom
Alwesid,3,2023-07-13 13:54:53,"Min kok di saya bug koneksi ya? Jadi stuck di tulisan reconnect, pdhl wifi saya lncar"
Dimas Naufal Fauzan,5,2023-07-13 10:44:28,Terimakasih berkat showroom aku bisa melihat bidadari
Kevin Adnan (Kevin Adnan),5,2023-07-13 03:23:16,"Tolong tambahkan bahasa indonesia, apakah anda tidak menyadari bahwa fans indonesia sangat banyak? Tolong sediakan bahasa indonesia, terimakasih."
Dika Fhauzy,3,2023-07-12 17:26:04,ngapa notip nya jadi kaga muncul sih dongoo
muhammad nasyid,2,2023-07-12 17:12:20,"Kenapa suka tidak muncul notif, bikin kesel aja"
Muhammad Sholeh,1,2023-07-12 15:25:39,"Ini knph!? Setiap ganti rom orang lain, selalu keluar sendiri."
Achmad Hadji Zamzamy Murthy,5,2023-07-12 15:09:00,Pokoknya ada oshiku dah cukup dah tu
Fahri Dwi Saputra,5,2023-07-12 13:55:59,"Apknya keren,aku bisa liat oshi ku ngomong:)"
Hafiz. fajriawan,4,2023-07-12 12:23:04,Sangat cocok dan bagus
Oppo Sekadau,5,2023-07-12 09:44:19,Bagus pake banget
Surya Dharma ali,2,2023-07-11 17:55:08,Ko ga bisa registrasi nomer si? Pdhl udh bener semua dari kode kata sama nomer tetep aja keulang²
Reifan Julianto (Rey Aja),5,2023-07-11 17:32:14,Bagus bett lah akhirnya saya bisa nonton live nya member jkt48
KlinikAini Aini,5,2023-07-11 06:18:17,Bagus setiap saya buka member JKT48 pasti ada yang live.soalnya saya jarang juga buka hp jadinya setiap buka hp ada yang sr
Irsyad Maula,2,2023-07-11 02:28:00,Sangat kecewa pas mau buat showroom id kan di situ tertulis 6-30 huruf saya baru menulis 3/5 huruf ga bisa
AHDE PRT,3,2023-07-10 08:14:38,Tidak ad notif saat member showroom Padahal dah follow
aufa ns,3,2023-07-10 07:53:54,showroom kadang notif nya ga muncul
Afkar Oktaviano,5,2023-07-09 14:40:07,Makasih showroom karna kamu aku bisa lihat oshikuuu thanks
Akun Utama,1,2023-07-09 14:20:28,"Saat mengisi verifikasi selalu ""Failed to issue SMS verification code."" mohon segera dibetulkan"
7D_Wildan Fuadi Tampan,1,2023-07-09 14:00:49,layar hitam loding terus sampe jenggotan
Novallino Sabrian,5,2023-07-08 08:57:23,Bagus untuk menonton streaming
Zidan Muhammad,1,2023-07-07 15:05:16,Kenapa tidak bisa login padahal sudah sesuai emel
Wildan Septa,1,2023-07-07 12:47:03,Kok gk bisa login padahal jaringan juga lancar apakah butuh wifi nasa untuk login?
Azriel Radhika pamungkas,5,2023-07-06 20:57:27,Untuk vidio showroom dan suaranya lancar
m.naufal yusfa fata,2,2023-07-06 12:02:08,min bikin lah buat ganti bahasa nya
RIZKI Abdillah,5,2023-07-06 03:39:54,Bagus tapi g ad notif dari jkt48
Fariz Saya,5,2023-07-06 02:00:45,"Aplikasi ini sangat bagus karena gw suka isi cewek² jjt48,😁😁"
Bian,1,2023-07-05 08:45:37,knp pake wifi suka gabisa padahal apk lain lancar aja
Diyan Ayu fahira,4,2023-07-05 02:52:50,4 dulu deh soalnya aku ga bisa verifikasi no hp padahal aku udh bener ko ngisinya tp tetep aja ga bisa udh aku coba berulang kali sampe ganti account
Silfi Lutfi,5,2023-07-04 15:03:54,"Sumpah ni apk keren banget, enak banget nonton sr member jkt48 di apk ini gratis lagi tapi kalo mau nonton langsung dari jktnya harus bayar, tapi gpp enak buat nonton member apalagi bisa dapet gratis bintang cuman nonton paling cuman nyampe 5menit dapet 10 bintang, pokoknya keren banget lah ni apk mantep."
fernando,5,2023-07-04 09:15:32,Keren dan bagus
Aditya Prayoga,5,2023-07-04 04:41:01,Kenapa ga muncul notif sr padahal sudah menambahkan favorit pada member
Dendri Pria Sejati,4,2023-07-03 19:50:00,ga ada notipnya padahal udh follow
Zaki Al-Majid,5,2023-07-03 15:16:54,Karena aku bisa melihat oshi ku shorum
Ananda Muhammad,5,2023-07-03 14:19:48,Aplikasi nya bagus mantap cocok kalo pengen liat live
Michael Aaron,3,2023-07-03 11:29:46,Verifikasi SMS gagal terus padahal sudah bener
Dudung Dodong,1,2023-07-02 16:39:44,Kenapa saya donlowd dan tidak bisa login semua sudah benar dan tidak bisa login tolong jelaskan
M Wahyu Wahyu,4,2023-06-30 00:36:17,Segera perbaikan notifikasi nya ya min kadang muncul kadang engga
Badrul Opet,1,2023-06-29 16:47:51,"Gajelas, padahal udh follow tapi ga ada notif"
revina apriliani,5,2023-06-29 10:03:05,Sangat puas dan membuat aku untuk bisa sr nya JKT48 😊😁
Nero Jaya,5,2023-06-26 08:12:34,Siap yang disini download cuma buat nonton showroom nya jkt48
Nicko Cell,5,2023-06-24 23:20:56,Suka banget sama aplikasi nya bisa nonton showroom oshi
Arjuna b,5,2023-06-24 00:36:46,Aku suka showroomm karena disana oshi ku dia (Marsha JKT48) showroom disana. Showroom ilove you so muchh - Aldi Taher
Pra Mita,3,2023-06-23 02:35:49,Bagus si apk nya tapi login nya agak susah tllong perbaiki bug nya dan penggunaan data pas lagi show rom di kuranhi
Nanta,1,2023-06-21 10:02:01,ga bisa pakai wifi
Indah Fadillah,1,2023-06-21 09:16:37,"Saya g bisa daftar akun ataupun login, padahal saya mau nonton showroom marsha jeketi 48. Tolong dong segera fi betulkan masuknya sangat sulit. Jujur saya kecewa karena saya g bisa masuk dan ketinggalan live oshi saya."
Aldi Yansyah,2,2023-06-21 06:00:31,Kecewa saya karena verifikasi kode nya gagal terus padahal udh pake kartu tri sama smartfren tapi tetep gagal tolong dong
theycallmeal faiq,5,2023-06-20 09:22:06,"Kalo anda wota wajib punya aplikasi ini, jangan ragu buat download!"
muh dzaki,5,2023-06-18 15:37:42,tolong tambahkan bahasa indonesia dong developer 🙏🏼
Sobirin User,1,2023-06-18 14:20:08,Gak bisa login pakai FB pakai Twitter gak bisa masuk coba perbaiki lagi dong sr nya
Serpin Saputra,4,2023-06-15 14:44:18,Saya kasih bintang 4 dulu dan tolong di tambahin bahasanya agar lebih mudah di mengerti dan di pahami
Udin ese,5,2023-06-15 14:32:49,Sering banget kalo ada yang live itu ga ada notifikasi jadi tolong lah ya
M. Hamzah Adi Pratama,1,2023-06-15 12:55:32,Kenapa bug gabisa masukin code buat biar bisa komen 😓
Niel Alri,5,2023-06-15 03:26:43,Sejauh ini aplikasinya keren banget
06 Muhammad Siswan,3,2023-06-14 11:30:44,"Kenapa akun saya tiba² ke logout,Pas mau login lagi ga bisa?"
Saputra Dewa,2,2023-06-12 11:11:11,"Aku nonton YouTube kualitas 1080p60 lancar, waktu pakai showroom malah katanya ada masalah di internet"
Mohamad Hanijar Purnama,5,2023-06-12 10:03:39,Saya kasih bintang 5 karena idol saya suka showroom yaitu jkt48
Evan Sandreas,1,2023-06-11 13:39:07,"Gua kasih bintang 1 😡,,,,karna gua ga bisa komen di sr oshi 😡,& gua ga dapet no verif Nya woi 😡 gua udh ikutin cara tapi tetap aja ga dapet no verif ktl!!!!!!!!"
84 Ruslandi,5,2023-06-09 11:35:26,tolong sediakan bahasa Indonesia atau Inggris
Xzen Trosh,5,2023-06-08 11:55:58,"Saya kasih bintang dua dulu karena saat saya pertama pakai showroom aman aman saja tapi kok sekarang kalau buka room, layar item loading terus , padahal jaringan bagus buat aplikasi lain"
Argyadav (Gyada:v),3,2023-06-03 13:43:11,"Kasih bintang e dulu karena kadang suka gak ada notif, tolong perbaiki ya dev🙏🏽"
Luniko Jama_ 2229,5,2023-06-01 16:36:09,"Bagus mint... Cuma notifnya kadang ada, kadang gak ada"
Rizal Hulalq,5,2023-05-31 14:27:36,"Suka bngt sebagai orang yang bru ingin mngenal dunia idol gw suka ni apk krn bnyak idol"" yang ge suka live di sini"
Ryann,2,2023-05-30 15:02:48,"Min kenapa kagak bisa comen si harus login dulu tapi kode SMS-nya kagak di kasih"" mmk"
Lalu Haryadi Putra,2,2023-05-30 14:57:45,Sangat kecewa karena verifikasi gagal terus padahal sudah sesuai tutorial yang diberikan. Tolong perbaiki bug verifikasi ini. Saya menjadi tidak bisa berinteraksi menggunakan kolom komentar
Ferdi Adi,5,2023-05-30 14:44:35,Siapa bilang ga bagus... Setidaknya ak jadi sering liat Freya tanpa telat. Dia juga suka bilang kok di story Ig kalo mau live sr
rudy xiao,3,2023-05-30 14:32:52,Aku mau lihat oshi ku live tapi gak bisa layarnya loding terus tapi Internet ku bagus apa karna aku di jerman makanya gak bisa atau ke mana ka
Khoirul Anwar,3,2023-05-30 14:28:01,"kenapa saya gabisa komen, terus di suruh verifikasi no hp malah gabisa"" mulu 😡"
HENDRA N.M,1,2023-05-30 11:42:16,Kok gak bisa login ya padahal udh sign up trus kok akunnya gk ada malah disuruh sign up lagi gmn sih yng bikin bot bngt
ALDY FF,1,2023-05-30 10:13:47,"Ini knapa si tiba"" Very code smsnya ga muncul muncul"
Palimo Bayua,5,2023-05-30 09:47:59,jangan sering bug min tolong di update lagi yg gg
Ydu Exi,5,2023-05-30 09:26:59,Gara gara apk ini gw bisa melihat nikmat yg luar biasa
RIFVA GMR,5,2023-05-30 08:11:15,Showroom premium dengan pembayaran google play kalau bisa
Nur Syaqira,5,2023-05-30 07:27:43,Bagus bgt aplikasi nya bisa nonton showroom freya tercintaaa
Thomas Ari Wibowo,5,2023-05-29 19:19:24,Maybe tambahlah pilihan bahasa di aplikasi biar mudah dimengerti. Thanks
zahra tsta,1,2023-05-28 15:34:26,Verify sms nya error terus tolong dong di perbaiki lagi kalo gini saya jadi ga bisa komen di sr😼
Rizki Pr,3,2023-05-27 14:07:58,"Gblk verif gk kelar"" padahal bener no tlpn ama kodenye"
Har_,4,2023-05-23 03:12:37,"Mohon notifnya di benerin, kadang dapet kadang nggak"
Andromeda,3,2023-05-22 23:24:33,"Kenapa gabisa pake Twitter login nya, tolong kembalikan login via Twitter"
arkaan daarus chanel,4,2023-05-21 13:05:52,Semoga bisa update ada bahasa Inggris ato indo ya
Jak Daniel coys,5,2023-05-19 10:57:38,Tingkatkan kalo bisa permudahkan pembayaran buat nonton theater jkt48... Biar jangan cuma bisa visa dan mastercard aja
M Raka Widananta,3,2023-05-18 16:21:56,Verifikasi sms ga ke kirim
Fahmi Ezix,3,2023-05-17 23:18:36,Terakhir ini gak ada notif masuk padahal lg live sampai ku coba instal ulang
AR Gaming,5,2023-05-14 14:29:27,Ngk perlu kata kata lagi the best pokoknya🔥
Achmad Firman Saputra,3,2023-05-13 18:02:01,Gambar kadang tersendat namun suara tetap berjalan dan akhir-akhir ini tidak mendapat notifikasi jika ada Livestream.
